Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28 Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|O60814|H2B1K_HUMAN / sp|P62807|H2B1C_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|P58876|H2B1D_HUMAN / sp|Q93079|H2B1H_HUMAN,"Histone H2B type F-S OS=Homo sapiens OX=9606 GN=H2BC12L PE=1 SV=2
Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3
Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3
Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3
Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC4 PE=1 SV=4
Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 SV=3
Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3
Histone H2B type 1-D OS=Homo sapiens OX=9606 GN=H2BC5 PE=1 SV=2
Histone H2B type 1-H OS=Homo sapiens OX=9606 GN=H2BC9 PE=1 SV=3",H2BC12L / H2BC14 / H2BC18 / H2BC12 / H2BC4 / H2BC15 / H2BC13 / H2BC5 / H2BC9,4.3375E+4,3.5653E+4,3.6813E+4
sp|Q09327|MGAT3_HUMAN,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT3 PE=1 SV=3",MGAT3,3.2107E+3,1.7215E+3,#N/A
sp|Q5GLZ8|HERC4_HUMAN,Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4 PE=1 SV=1,HERC4,2.0591E+5,2.3391E+5,2.0166E+5
sp|Q5H8A4|PIGG_HUMAN,GPI ethanolamine phosphate transferase 2 OS=Homo sapiens OX=9606 GN=PIGG PE=1 SV=1,PIGG,2.5594E+4,2.2906E+4,2.4916E+4
sp|Q5SWX8|ODR4_HUMAN,Protein odr-4 homolog OS=Homo sapiens OX=9606 GN=ODR4 PE=1 SV=1,ODR4,4.2099E+4,3.7709E+4,2.3202E+4
sp|Q8NF50|DOCK8_HUMAN,Dedicator of cytokinesis protein 8 OS=Homo sapiens OX=9606 GN=DOCK8 PE=1 SV=3,DOCK8,1.3210E+6,1.3117E+6,1.3301E+6
sp|Q96AT9|RPE_HUMAN,Ribulose-phosphate 3-epimerase OS=Homo sapiens OX=9606 GN=RPE PE=1 SV=1,RPE,1.7642E+4,1.5699E+4,2.9549E+4
sp|Q96DZ9|CKLF5_HUMAN,CKLF-like MARVEL transmembrane domain-containing protein 5 OS=Homo sapiens OX=9606 GN=CMTM5 PE=1 SV=2,CMTM5,1.1907E+6,1.2549E+6,1.1596E+6
sp|Q96JP9|CDHR1_HUMAN,Cadherin-related family member 1 OS=Homo sapiens OX=9606 GN=CDHR1 PE=1 SV=2,CDHR1,5.3339E+4,3.2526E+4,4.3545E+4
sp|Q9BRG1|VPS25_HUMAN,Vacuolar protein-sorting-associated protein 25 OS=Homo sapiens OX=9606 GN=VPS25 PE=1 SV=1,VPS25,1.2812E+5,1.4550E+5,1.3010E+5
sp|Q9BV40|VAMP8_HUMAN,Vesicle-associated membrane protein 8 OS=Homo sapiens OX=9606 GN=VAMP8 PE=1 SV=1,VAMP8,8.7210E+5,9.2722E+5,9.2101E+5
sp|Q9BYJ0|FGFP2_HUMAN,Fibroblast growth factor-binding protein 2 OS=Homo sapiens OX=9606 GN=FGFBP2 PE=1 SV=1,FGFBP2,2.6759E+5,2.8586E+5,3.0114E+5
sp|Q9HAT2|SIAE_HUMAN,Sialate O-acetylesterase OS=Homo sapiens OX=9606 GN=SIAE PE=1 SV=1,SIAE,4.1926E+5,4.3152E+5,4.9436E+5
sp|Q9Y2H9|MAST1_HUMAN,Microtubule-associated serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=MAST1 PE=1 SV=2,MAST1,#N/A,1.8059E+4,1.1767E+4
sp|A0A0G2JMI3|HV692_HUMAN,Immunoglobulin heavy variable 1-69-2 OS=Homo sapiens OX=9606 GN=IGHV1-69-2 PE=1 SV=2,IGHV1-69-2,2.7698E+4,2.9104E+4,1.9352E+4
sp|O15400|STX7_HUMAN,Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4,STX7,1.6490E+6,1.5920E+6,1.6027E+6
sp|O43310|CTIF_HUMAN,CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1,CTIF,8.8227E+3,1.2453E+4,1.1895E+4
sp|P04432|KVD39_HUMAN / sp|P01597|KV139_HUMAN,"Immunoglobulin kappa variable 1D-39 OS=Homo sapiens OX=9606 GN=IGKV1D-39 PE=3 SV=2
Immunoglobulin kappa variable 1-39 OS=Homo sapiens OX=9606 GN=IGKV1-39 PE=1 SV=2",IGKV1D-39 / IGKV1-39,9.9360E+5,1.0674E+6,1.1330E+6
sp|P20742|PZP_HUMAN,Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4,PZP,9.2404E+6,9.5421E+6,9.6338E+6
sp|P53007|TXTP_HUMAN,"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A1 PE=1 SV=2",SLC25A1,6.2702E+5,6.1100E+5,5.9720E+5
sp|P55039|DRG2_HUMAN,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1,DRG2,2.3765E+4,2.6234E+4,2.7161E+4
sp|Q10713|MPPA_HUMAN,Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2,PMPCA,1.2758E+5,1.3050E+5,1.3091E+5
sp|Q14642|I5P1_HUMAN,Inositol polyphosphate-5-phosphatase A OS=Homo sapiens OX=9606 GN=INPP5A PE=1 SV=1,INPP5A,3.3019E+5,4.3640E+5,4.1887E+5
sp|Q5K651|SAMD9_HUMAN,Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,SAMD9,1.0157E+5,8.2431E+4,7.6218E+4
sp|Q7L3B6|CD37L_HUMAN,Hsp90 co-chaperone Cdc37-like 1 OS=Homo sapiens OX=9606 GN=CDC37L1 PE=1 SV=1,CDC37L1,1.5967E+4,6.3769E+3,7.8312E+3
sp|Q8N1B4|VPS52_HUMAN,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens OX=9606 GN=VPS52 PE=1 SV=1,VPS52,1.9785E+5,2.1296E+5,1.6496E+5
sp|Q8NI99|ANGL6_HUMAN,Angiopoietin-related protein 6 OS=Homo sapiens OX=9606 GN=ANGPTL6 PE=1 SV=1,ANGPTL6,1.1086E+7,1.1381E+7,1.2235E+7
sp|Q8TB24|RIN3_HUMAN,Ras and Rab interactor 3 OS=Homo sapiens OX=9606 GN=RIN3 PE=1 SV=4,RIN3,2.8259E+5,3.5624E+5,3.0711E+5
sp|Q99719|SEPT5_HUMAN,Septin-5 OS=Homo sapiens OX=9606 GN=SEPTIN5 PE=1 SV=1,SEPTIN5,1.3197E+6,1.3104E+6,1.2396E+6
sp|Q99807|COQ7_HUMAN,"5-demethoxyubiquinone hydroxylase, mitochondrial OS=Homo sapiens OX=9606 GN=COQ7 PE=1 SV=3",COQ7,#N/A,#N/A,#N/A
sp|Q9BRP4|PAAF1_HUMAN,Proteasomal ATPase-associated factor 1 OS=Homo sapiens OX=9606 GN=PAAF1 PE=1 SV=2,PAAF1,9.6681E+4,7.8787E+4,9.9259E+4
sp|Q9BTY2|FUCO2_HUMAN,Plasma alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA2 PE=1 SV=2,FUCA2,1.0914E+5,1.0584E+5,1.0776E+5
sp|Q9H0Z9|RBM38_HUMAN,RNA-binding protein 38 OS=Homo sapiens OX=9606 GN=RBM38 PE=1 SV=2,RBM38,5.4387E+4,3.5314E+4,4.2147E+4
sp|Q9H469|FXL15_HUMAN,F-box/LRR-repeat protein 15 OS=Homo sapiens OX=9606 GN=FBXL15 PE=1 SV=2,FBXL15,4.7725E+3,4.1390E+3,4.9664E+3
sp|Q9H6T3|RPAP3_HUMAN,RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,RPAP3,4.2506E+4,4.0153E+4,1.1732E+4
sp|Q9NSK0|KLC4_HUMAN,Kinesin light chain 4 OS=Homo sapiens OX=9606 GN=KLC4 PE=1 SV=3,KLC4,5.2106E+4,4.5018E+4,4.4051E+4
sp|Q9UHB6|LIMA1_HUMAN,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,LIMA1,1.9288E+6,1.0816E+6,1.0697E+6
sp|Q9Y274|SIA10_HUMAN,"Type 2 lactosamine alpha-2,3-sialyltransferase OS=Homo sapiens OX=9606 GN=ST3GAL6 PE=1 SV=1",ST3GAL6,8.8763E+5,9.5931E+5,8.7316E+5
sp|Q9Y282|ERGI3_HUMAN,Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Homo sapiens OX=9606 GN=ERGIC3 PE=1 SV=1,ERGIC3,1.7277E+4,1.0993E+4,1.3054E+4
sp|O60684|IMA7_HUMAN,Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1,KPNA6,1.2715E+5,1.0389E+5,9.3017E+4
sp|P01594|KV133_HUMAN / sp|P01593|KVD33_HUMAN,"Immunoglobulin kappa variable 1-33 OS=Homo sapiens OX=9606 GN=IGKV1-33 PE=1 SV=2
Immunoglobulin kappa variable 1D-33 OS=Homo sapiens OX=9606 GN=IGKV1D-33 PE=1 SV=2",IGKV1-33 / IGKV1D-33,1.0964E+6,1.1477E+6,1.0838E+6
sp|P10301|RRAS_HUMAN,Ras-related protein R-Ras OS=Homo sapiens OX=9606 GN=RRAS PE=1 SV=1,RRAS,7.4817E+5,7.2348E+5,7.7870E+5
sp|P13929|ENOB_HUMAN,Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5,ENO3,6.6263E+3,#N/A,4.9307E+3
sp|P16591|FER_HUMAN,Tyrosine-protein kinase Fer OS=Homo sapiens OX=9606 GN=FER PE=1 SV=2,FER,1.8847E+5,1.7187E+5,1.6507E+5
sp|P22304|IDS_HUMAN,Iduronate 2-sulfatase OS=Homo sapiens OX=9606 GN=IDS PE=1 SV=1,IDS,1.8566E+5,1.8984E+5,1.6140E+5
sp|P22528|SPR1B_HUMAN / sp|P35321|SPR1A_HUMAN,"Cornifin-B OS=Homo sapiens OX=9606 GN=SPRR1B PE=1 SV=2
Cornifin-A OS=Homo sapiens OX=9606 GN=SPRR1A PE=1 SV=2",SPRR1B / SPRR1A,4.1335E+3,#N/A,2.4543E+3
sp|P27487|DPP4_HUMAN,Dipeptidyl peptidase 4 OS=Homo sapiens OX=9606 GN=DPP4 PE=1 SV=2,DPP4,2.8870E+5,2.9028E+5,3.2309E+5
sp|P49589|SYCC_HUMAN,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3",CARS1,4.6105E+5,4.5157E+5,4.1661E+5
sp|P49773|HINT1_HUMAN,Adenosine 5'-monophosphoramidase HINT1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2,HINT1,4.7253E+5,4.5272E+5,4.4743E+5
sp|P55957|BID_HUMAN,BH3-interacting domain death agonist OS=Homo sapiens OX=9606 GN=BID PE=1 SV=1,BID,8.3429E+5,7.2877E+5,8.0426E+5
sp|P78406|RAE1L_HUMAN,mRNA export factor RAE1 OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1,1.2844E+5,1.1254E+5,1.1640E+5
sp|Q15031|SYLM_HUMAN,"Leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2",LARS2,5.1696E+4,2.5030E+4,3.4567E+4
sp|Q15084|PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6,1.1101E+7,1.0903E+7,1.0916E+7
sp|Q17RN3|FA98C_HUMAN,Protein FAM98C OS=Homo sapiens OX=9606 GN=FAM98C PE=1 SV=1,FAM98C,2.2681E+4,2.7468E+4,1.2322E+4
sp|Q6P3W7|SCYL2_HUMAN,SCY1-like protein 2 OS=Homo sapiens OX=9606 GN=SCYL2 PE=1 SV=1,SCYL2,3.9076E+5,4.0654E+5,3.4049E+5
sp|Q8WWB7|GLMP_HUMAN,Glycosylated lysosomal membrane protein OS=Homo sapiens OX=9606 GN=GLMP PE=1 SV=1,GLMP,9.7480E+3,2.9299E+4,2.6790E+4
sp|Q92575|UBXN4_HUMAN,UBX domain-containing protein 4 OS=Homo sapiens OX=9606 GN=UBXN4 PE=1 SV=2,UBXN4,1.8264E+5,1.4631E+5,6.4564E+4
sp|Q96D15|RCN3_HUMAN,Reticulocalbin-3 OS=Homo sapiens OX=9606 GN=RCN3 PE=1 SV=1,RCN3,1.1181E+4,4.1550E+3,1.9191E+4
sp|Q96DT5|DYH11_HUMAN,Dynein axonemal heavy chain 11 OS=Homo sapiens OX=9606 GN=DNAH11 PE=1 SV=4,DNAH11,#N/A,#N/A,#N/A
sp|Q96SZ5|AEDO_HUMAN,2-aminoethanethiol dioxygenase OS=Homo sapiens OX=9606 GN=ADO PE=1 SV=2,ADO,1.6672E+4,1.6310E+4,1.7225E+4
sp|Q9NVM1|EVA1B_HUMAN,Protein eva-1 homolog B OS=Homo sapiens OX=9606 GN=EVA1B PE=1 SV=1,EVA1B,3.4935E+4,4.6887E+4,4.7208E+4
sp|Q9NX55|HYPK_HUMAN,Huntingtin-interacting protein K OS=Homo sapiens OX=9606 GN=HYPK PE=1 SV=3,HYPK,6.3859E+3,9.9429E+3,7.2454E+3
sp|Q9UEY8|ADDG_HUMAN,Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,ADD3,1.1601E+6,1.1388E+6,1.1767E+6
sp|Q9Y512|SAM50_HUMAN,Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3,SAMM50,2.3652E+5,1.8266E+5,2.3616E+5
sp|O43598|DNPH1_HUMAN,5-hydroxymethyl-dUMP N-hydrolase OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1,DNPH1,2.4780E+5,1.6374E+5,1.9388E+5
sp|O94769|ECM2_HUMAN,Extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=ECM2 PE=1 SV=1,ECM2,3.0340E+6,2.8811E+6,3.1046E+6
sp|O95298|NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens OX=9606 GN=NDUFC2 PE=1 SV=1,NDUFC2,3.6316E+4,4.4132E+4,6.1711E+4
sp|P04275|VWF_HUMAN,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,VWF,1.5658E+8,1.5825E+8,1.6093E+8
sp|P07305|H10_HUMAN,Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,H1-0,#N/A,1.3465E+4,#N/A
sp|P19838|NFKB1_HUMAN,Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens OX=9606 GN=NFKB1 PE=1 SV=2,NFKB1,2.2759E+5,2.1003E+5,2.1309E+5
sp|P49821|NDUV1_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4",NDUFV1,6.5170E+5,6.2089E+5,6.4626E+5
sp|P54819|KAD2_HUMAN,"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2",AK2,4.4686E+6,5.8337E+6,4.7648E+6
sp|Q02252|MMSA_HUMAN,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2",ALDH6A1,5.3966E+5,5.0347E+5,5.8117E+5
sp|Q07912|ACK1_HUMAN,Activated CDC42 kinase 1 OS=Homo sapiens OX=9606 GN=TNK2 PE=1 SV=3,TNK2,1.1718E+4,1.4724E+4,1.3637E+4
sp|Q13615|MTMR3_HUMAN,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR3 OS=Homo sapiens OX=9606 GN=MTMR3 PE=1 SV=3",MTMR3,#N/A,#N/A,#N/A
sp|Q7L0Y3|TM10C_HUMAN,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,TRMT10C,4.8138E+4,5.9066E+4,2.5974E+4
sp|Q8TD06|AGR3_HUMAN,Anterior gradient protein 3 OS=Homo sapiens OX=9606 GN=AGR3 PE=1 SV=1,AGR3,2.9512E+5,1.8736E+5,2.5647E+5
sp|Q8WWU5|TCP11_HUMAN,T-complex protein 11 homolog OS=Homo sapiens OX=9606 GN=TCP11 PE=1 SV=1,TCP11,#N/A,1.0146E+4,7.8683E+3
sp|Q92963|RIT1_HUMAN,GTP-binding protein Rit1 OS=Homo sapiens OX=9606 GN=RIT1 PE=1 SV=1,RIT1,7.2365E+4,7.0586E+4,9.7849E+4
sp|Q93084|AT2A3_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3,ATP2A3,1.7479E+7,1.6517E+7,1.7904E+7
sp|Q96GW7|PGCB_HUMAN,Brevican core protein OS=Homo sapiens OX=9606 GN=BCAN PE=1 SV=2,BCAN,1.2248E+5,1.4449E+5,1.3272E+5
sp|Q96IX5|ATPMK_HUMAN,"ATP synthase membrane subunit K, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MK PE=1 SV=1",ATP5MK,1.3096E+5,1.2957E+5,1.4798E+5
sp|Q96JB5|CK5P3_HUMAN,CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens OX=9606 GN=CDK5RAP3 PE=1 SV=2,CDK5RAP3,5.6664E+5,2.0031E+5,5.5905E+5
sp|Q96MH2|HEXI2_HUMAN,Protein HEXIM2 OS=Homo sapiens OX=9606 GN=HEXIM2 PE=1 SV=1,HEXIM2,8.8192E+4,6.2824E+4,7.3461E+4
sp|Q96MX6|DAA10_HUMAN,Dynein axonemal assembly factor 10 OS=Homo sapiens OX=9606 GN=DNAAF10 PE=1 SV=1,DNAAF10,5.1573E+4,3.3307E+4,2.6327E+4
sp|Q9NPQ8|RIC8A_HUMAN,Chaperone Ric-8A OS=Homo sapiens OX=9606 GN=RIC8A PE=1 SV=3,RIC8A,3.5536E+5,3.8986E+5,3.8594E+5
sp|Q9NQP4|PFD4_HUMAN,Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,PFDN4,4.2560E+4,6.6687E+4,5.3101E+4
sp|Q9UJJ9|GNPTG_HUMAN,N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens OX=9606 GN=GNPTG PE=1 SV=1,GNPTG,3.8112E+4,6.2885E+4,5.4122E+4
sp|A6NIH7|U119B_HUMAN,Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1,UNC119B,5.8069E+4,4.7820E+4,6.0883E+4
sp|O95757|HS74L_HUMAN,Heat shock 70 kDa protein 4L OS=Homo sapiens OX=9606 GN=HSPA4L PE=1 SV=3,HSPA4L,1.0829E+5,8.1445E+4,8.4446E+4
sp|P01011|AACT_HUMAN,Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2,SERPINA3,1.3443E+7,1.2756E+7,1.3585E+7
sp|P01766|HV313_HUMAN,Immunoglobulin heavy variable 3-13 OS=Homo sapiens OX=9606 GN=IGHV3-13 PE=1 SV=2,IGHV3-13,3.1571E+6,3.4484E+6,3.1223E+6
sp|P16870|CBPE_HUMAN,Carboxypeptidase E OS=Homo sapiens OX=9606 GN=CPE PE=1 SV=1,CPE,7.3076E+4,6.3548E+4,7.2702E+4
sp|P20339|RAB5A_HUMAN,Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2,RAB5A,1.6299E+5,1.7873E+5,3.3042E+5
sp|P26639|SYTC_HUMAN,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",TARS1,1.5161E+6,1.3565E+6,1.1497E+6
sp|P30405|PPIF_HUMAN,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1",PPIF,1.4374E+6,1.3102E+6,1.2684E+6
sp|P49593|PPM1F_HUMAN,Protein phosphatase 1F OS=Homo sapiens OX=9606 GN=PPM1F PE=1 SV=3,PPM1F,1.7308E+6,1.6650E+6,1.5904E+6
sp|P51689|ARSD_HUMAN,Arylsulfatase D OS=Homo sapiens OX=9606 GN=ARSD PE=1 SV=2,ARSD,5.3841E+4,3.5807E+4,4.7689E+4
sp|P62310|LSM3_HUMAN,U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens OX=9606 GN=LSM3 PE=1 SV=2,LSM3,2.7617E+5,2.8061E+5,2.6921E+5
sp|P82909|KGD4_HUMAN,Alpha-ketoglutarate dehydrogenase component 4 OS=Homo sapiens OX=9606 GN=KGD4 PE=1 SV=2,KGD4,2.0469E+5,2.1631E+5,2.3323E+5
sp|Q02539|H11_HUMAN / sp|P16402|H13_HUMAN / sp|P10412|H14_HUMAN / sp|P22492|H1T_HUMAN / sp|P16403|H12_HUMAN,"Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3
Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2
Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2
Histone H1t OS=Homo sapiens OX=9606 GN=H1-6 PE=1 SV=4
Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2",H1-1 / H1-3 / H1-4 / H1-6 / H1-2,4.8106E+3,5.4956E+3,9.1528E+3
sp|Q04837|SSBP_HUMAN,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",SSBP1,6.2847E+5,6.0346E+5,6.2922E+5
sp|Q05707|COEA1_HUMAN,Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3,COL14A1,8.2573E+5,6.7485E+5,7.6797E+5
sp|Q14766|LTBP1_HUMAN,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,LTBP1,1.8071E+7,1.7928E+7,1.8061E+7
sp|Q15118|PDK1_HUMAN,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapiens OX=9606 GN=PDK1 PE=1 SV=1",PDK1,3.1652E+5,3.3103E+5,3.4915E+5
sp|Q15435|PP1R7_HUMAN,Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1,PPP1R7,5.2685E+5,5.3363E+5,4.9666E+5
sp|Q5TA50|CPTP_HUMAN,Ceramide-1-phosphate transfer protein OS=Homo sapiens OX=9606 GN=CPTP PE=1 SV=1,CPTP,9.7257E+3,1.6418E+4,1.5256E+4
sp|Q8NBJ7|SUMF2_HUMAN,Inactive C-alpha-formylglycine-generating enzyme 2 OS=Homo sapiens OX=9606 GN=SUMF2 PE=1 SV=2,SUMF2,2.2345E+5,2.5089E+5,2.2775E+5
sp|Q8TAD7|OCC1_HUMAN,Overexpressed in colon carcinoma 1 protein OS=Homo sapiens OX=9606 GN=OCC1 PE=1 SV=2,OCC1,4.3560E+3,1.7093E+4,1.5484E+4
sp|Q93050|VPP1_HUMAN,V-type proton ATPase 116 kDa subunit a 1 OS=Homo sapiens OX=9606 GN=ATP6V0A1 PE=1 SV=3,ATP6V0A1,1.0123E+5,9.3184E+4,9.7627E+4
sp|Q9NUI1|DECR2_HUMAN,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] OS=Homo sapiens OX=9606 GN=DECR2 PE=1 SV=1",DECR2,4.2311E+4,3.3961E+4,3.3403E+4
sp|Q9Y6G9|DC1L1_HUMAN,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3,DYNC1LI1,2.3050E+5,2.0565E+5,2.3389E+5
sp|O43169|CYB5B_HUMAN,Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3,CYB5B,2.2957E+5,2.5083E+5,2.6160E+5
sp|O43182|RHG06_HUMAN,Rho GTPase-activating protein 6 OS=Homo sapiens OX=9606 GN=ARHGAP6 PE=1 SV=3,ARHGAP6,2.0726E+6,2.0402E+6,2.1299E+6
sp|O43426|SYNJ1_HUMAN,Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2,SYNJ1,1.2925E+4,1.0126E+4,8.6113E+3
sp|P00491|PNPH_HUMAN,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2,PNP,1.0452E+7,1.0660E+7,1.1290E+7
sp|P01833|PIGR_HUMAN,Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4,PIGR,4.0091E+5,4.4216E+5,4.5042E+5
sp|P08185|CBG_HUMAN,Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1,SERPINA6,3.1881E+5,3.7206E+5,3.6679E+5
sp|P11274|BCR_HUMAN,Breakpoint cluster region protein OS=Homo sapiens OX=9606 GN=BCR PE=1 SV=2,BCR,2.2165E+4,4.3343E+4,4.8470E+4
sp|P13861|KAP2_HUMAN,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,PRKAR2A,4.1127E+5,4.3914E+5,4.2833E+5
sp|P50851|LRBA_HUMAN,Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens OX=9606 GN=LRBA PE=1 SV=4,LRBA,5.4811E+6,5.5884E+6,5.7763E+6
sp|P51784|UBP11_HUMAN,Ubiquitin carboxyl-terminal hydrolase 11 OS=Homo sapiens OX=9606 GN=USP11 PE=1 SV=3,USP11,2.0817E+4,2.7230E+4,1.7251E+4
sp|Q13214|SEM3B_HUMAN,Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1,SEMA3B,6.1135E+3,4.5923E+3,6.6682E+3
sp|Q15019|SEPT2_HUMAN,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,SEPTIN2,9.7742E+5,1.0795E+6,1.1326E+6
sp|Q5TF39|MFS4B_HUMAN,Sodium-dependent glucose transporter 1 OS=Homo sapiens OX=9606 GN=MFSD4B PE=1 SV=1,MFSD4B,4.8185E+3,8.6747E+3,1.0081E+4
sp|Q86XA9|HTR5A_HUMAN,HEAT repeat-containing protein 5A OS=Homo sapiens OX=9606 GN=HEATR5A PE=1 SV=2,HEATR5A,1.2446E+5,1.6253E+5,1.1884E+5
