Protein,Protein Description,Protein Gene,Astral_MixA_01 Sum Normalized Area,Astral_MixA_02 Sum Normalized Area,Astral_MixA_03 Sum Normalized Area,Astral_MixB_01 Sum Normalized Area,Astral_MixB_02 Sum Normalized Area,Astral_MixB_03 Sum Normalized Area,Astral_MixC_01 Sum Normalized Area,Astral_MixC_02 Sum Normalized Area,Astral_MixC_03 Sum Normalized Area,Astral_MixD_01 Sum Normalized Area,Astral_MixD_02 Sum Normalized Area,Astral_MixD_03 Sum Normalized Area,Astral_MixE_01 Sum Normalized Area,Astral_MixE_02 Sum Normalized Area,Astral_MixE_03 Sum Normalized Area,Astral_MixF_01 Sum Normalized Area,Astral_MixF_02 Sum Normalized Area,Astral_MixF_03 Sum Normalized Area,Astral_MixG_01 Sum Normalized Area,Astral_MixG_02 Sum Normalized Area,Astral_MixG_03 Sum Normalized Area,Astral_MixH_01 Sum Normalized Area,Astral_MixH_02 Sum Normalized Area,Astral_MixH_03 Sum Normalized Area,Astral_MixI_01 Sum Normalized Area,Astral_MixI_02 Sum Normalized Area,Astral_MixI_03 Sum Normalized Area,Astral_MixJ_01 Sum Normalized Area,Astral_MixJ_02 Sum Normalized Area,Astral_MixJ_03 Sum Normalized Area,Astral_MixK_01 Sum Normalized Area,Astral_MixK_02 Sum Normalized Area,Astral_MixK_03 Sum Normalized Area,Astral_MixL_01 Sum Normalized Area,Astral_MixL_02 Sum Normalized Area,Astral_MixL_03 Sum Normalized Area,Astral_MixM_01 Sum Normalized Area,Astral_MixM_02 Sum Normalized Area,Astral_MixM_03 Sum Normalized Area,Astral_MixN_01 Sum Normalized Area,Astral_MixN_02 Sum Normalized Area,Astral_MixN_03 Sum Normalized Area
sp|P50591|TNF10_HUMAN,Tumor necrosis factor ligand superfamily member 10 OS=Homo sapiens OX=9606 GN=TNFSF10 PE=1 SV=1,TNFSF10,1.0629E+4,1.0724E+4,1.4644E+4,6.8838E+3,1.5682E+3,7.3996E+3,1.3134E+3,4.6143E+3,#N/A,#N/A,1.8062E+3,#N/A,1.7473E+3,#N/A,#N/A,#N/A,3.0982E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51858|HDGF_HUMAN,Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,HDGF,1.4440E+5,1.2529E+5,1.7002E+5,9.9394E+4,9.5111E+4,7.9644E+4,5.8036E+4,5.4236E+4,6.2776E+4,3.3946E+4,5.4515E+4,3.5967E+4,1.3897E+4,#N/A,1.3606E+4,7.2809E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15437|SC23B_HUMAN,Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2,SEC23B,2.8479E+4,3.9171E+4,2.9394E+4,2.1466E+4,1.3510E+4,2.1285E+4,9.4246E+3,5.8722E+3,5.5654E+3,2.1071E+3,#N/A,3.8354E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q2M2I8|AAK1_HUMAN,AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3,AAK1,1.2904E+4,6.2215E+3,6.9619E+3,6.7227E+3,3.5370E+3,5.3071E+3,2.0943E+3,#N/A,2.7658E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86YL5|TDRP_HUMAN,Testis development-related protein OS=Homo sapiens OX=9606 GN=TDRP PE=1 SV=2,TDRP,2.6508E+5,1.3001E+5,1.9172E+5,1.1753E+5,1.9549E+5,2.6102E+5,1.5089E+5,1.6717E+5,1.5792E+5,8.3184E+4,4.2593E+4,1.1041E+5,1.5197E+4,8.1777E+3,9.3394E+4,6.0338E+3,1.5153E+4,6.4438E+3,#N/A,#N/A,#N/A,#N/A,1.4449E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8WUY1|THEM6_HUMAN,Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,THEM6,2.7256E+5,2.3908E+5,2.4707E+5,1.5071E+5,1.5678E+5,1.4650E+5,1.3288E+5,1.1037E+5,1.0789E+5,4.6771E+4,4.1730E+4,6.4458E+4,#N/A,1.7327E+4,6.6725E+3,1.4127E+4,#N/A,#N/A,#N/A,2.9092E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92888|ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,ARHGEF1,5.0191E+5,5.9252E+5,3.2983E+5,4.0225E+5,2.8146E+5,2.8292E+5,2.2768E+5,1.2836E+5,1.5555E+5,5.4109E+4,6.3208E+4,1.0449E+5,#N/A,#N/A,#N/A,3.5072E+3,2.5065E+3,1.1660E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96N67|DOCK7_HUMAN,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,2.2632E+4,3.9829E+4,3.0927E+4,1.6883E+4,1.8660E+4,2.2982E+4,5.1221E+3,1.2573E+4,8.9114E+3,8.5103E+3,3.3967E+3,#N/A,#N/A,#N/A,#N/A,#N/A,1.7414E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96PD5|PGRP2_HUMAN,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1,PGLYRP2,2.8113E+6,2.5401E+6,2.2868E+6,1.8862E+6,1.7151E+6,1.6367E+6,1.3195E+6,1.3278E+6,1.2724E+6,9.5165E+5,1.1287E+6,7.1821E+5,2.6991E+5,4.7928E+5,2.3787E+5,1.3335E+5,1.6673E+5,1.4908E+5,2.0658E+5,8.9838E+4,1.0184E+5,5.2808E+4,4.2720E+4,4.9217E+4,#N/A,2.5739E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96PP9|GBP4_HUMAN,Guanylate-binding protein 4 OS=Homo sapiens OX=9606 GN=GBP4 PE=1 SV=2,GBP4,2.6272E+4,2.1412E+4,2.1691E+4,4.5960E+3,1.4794E+4,3.0822E+3,9.3857E+3,1.6769E+4,3.1933E+3,#N/A,#N/A,3.2673E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96RF0|SNX18_HUMAN,Sorting nexin-18 OS=Homo sapiens OX=9606 GN=SNX18 PE=1 SV=2,SNX18,2.2388E+4,2.1424E+4,1.3886E+4,2.5679E+4,2.2630E+4,2.0935E+4,1.4476E+4,1.8649E+4,2.7699E+4,#N/A,4.2898E+4,#N/A,#N/A,7.3171E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NSY0|NRBP2_HUMAN,Nuclear receptor-binding protein 2 OS=Homo sapiens OX=9606 GN=NRBP2 PE=1 SV=2,NRBP2,5.0290E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4931E+3,#N/A,3.3077E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NXL6|SIDT1_HUMAN,SID1 transmembrane family member 1 OS=Homo sapiens OX=9606 GN=SIDT1 PE=1 SV=2,SIDT1,1.5258E+5,1.4779E+5,1.0664E+5,8.0619E+4,8.9208E+4,8.0676E+4,4.3347E+4,6.0847E+4,6.3552E+4,2.8877E+4,2.7809E+4,2.9305E+4,4.2742E+3,8.8232E+3,6.2566E+3,#N/A,#N/A,#N/A,#N/A,8.6500E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UIQ6|LCAP_HUMAN,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,LNPEP,3.8798E+5,3.5919E+5,3.2243E+5,2.9830E+5,2.7905E+5,2.2737E+5,2.6140E+5,3.4201E+5,2.6593E+5,7.0329E+4,2.9622E+5,2.0626E+5,1.0001E+4,4.0705E+3,#N/A,7.5542E+3,#N/A,3.7020E+3,5.1693E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UKG1|DP13A_HUMAN,DCC-interacting protein 13-alpha OS=Homo sapiens OX=9606 GN=APPL1 PE=1 SV=1,APPL1,4.6112E+5,4.6717E+5,4.1703E+5,3.8232E+5,3.1769E+5,3.5867E+5,2.2498E+5,1.9411E+5,2.3275E+5,1.4000E+5,1.1791E+5,9.3151E+4,3.5904E+4,#N/A,2.6996E+4,2.1308E+4,6.9135E+3,6.8069E+3,#N/A,4.8603E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y6B6|SAR1B_HUMAN,Small COPII coat GTPase SAR1B OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,SAR1B,2.3524E+4,1.6467E+4,1.9046E+4,1.4469E+4,1.2377E+4,1.1511E+4,1.2432E+4,1.2941E+4,5.1618E+3,4.6920E+3,7.4391E+3,5.2631E+3,#N/A,2.7098E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O00453|LST1_HUMAN,Leukocyte-specific transcript 1 protein OS=Homo sapiens OX=9606 GN=LST1 PE=1 SV=2,LST1,1.0971E+5,1.0598E+5,7.4752E+4,6.4807E+4,5.4247E+4,7.2392E+4,5.5049E+4,4.5561E+4,6.2912E+4,3.7834E+4,5.0821E+4,3.4112E+4,#N/A,#N/A,2.0044E+4,#N/A,#N/A,7.1642E+3,1.9844E+4,2.2599E+4,#N/A,#N/A,#N/A,2.0461E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O14727|APAF_HUMAN,Apoptotic protease-activating factor 1 OS=Homo sapiens OX=9606 GN=APAF1 PE=1 SV=2,APAF1,2.0917E+5,2.2682E+5,1.7596E+5,2.0232E+5,1.3640E+5,9.4819E+4,8.0867E+4,9.2164E+4,6.2452E+4,5.6215E+4,2.9880E+4,2.4829E+4,#N/A,5.5969E+3,5.1460E+3,#N/A,#N/A,#N/A,#N/A,6.1737E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O15371|EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,EIF3D,2.4603E+5,2.4405E+5,2.0617E+5,1.8701E+5,1.8431E+5,1.8291E+5,1.6493E+5,1.3371E+5,1.4550E+5,1.1924E+5,6.0113E+4,7.7741E+4,7.7019E+4,3.3617E+3,6.0072E+4,4.6791E+4,6.6356E+4,4.7009E+4,4.0032E+4,6.1140E+4,5.2890E+4,5.5129E+4,#N/A,4.1697E+4,#N/A,3.8963E+4,3.6675E+4,5.9085E+4,4.9933E+4,4.6900E+4,#N/A,4.6880E+4,#N/A,#N/A,5.1082E+4,4.3860E+4,#N/A,4.1799E+4,#N/A,#N/A,#N/A,#N/A
sp|O75955|FLOT1_HUMAN,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,FLOT1,2.9350E+6,2.6309E+6,2.5425E+6,2.0388E+6,1.9733E+6,1.8481E+6,1.4986E+6,1.4600E+6,1.5117E+6,8.8175E+5,9.1081E+5,8.0192E+5,3.4424E+5,1.8995E+5,2.7994E+5,2.0611E+5,2.0588E+5,1.1798E+5,8.8248E+4,1.2699E+5,5.8340E+4,5.6322E+4,7.5168E+4,2.4641E+4,1.9795E+4,1.1792E+4,1.0810E+4,#N/A,#N/A,#N/A,#N/A,1.0973E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P09211|GSTP1_HUMAN,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1,4.0803E+6,3.6534E+6,3.4219E+6,2.3895E+6,2.6158E+6,2.3841E+6,1.8219E+6,2.2057E+6,2.1532E+6,1.4883E+6,1.1951E+6,1.0407E+6,3.7690E+5,6.0167E+5,4.7978E+5,3.5005E+5,3.0579E+5,2.6591E+5,2.2024E+5,2.7503E+5,1.6599E+5,1.9297E+5,2.1113E+5,2.7975E+5,7.8777E+3,#N/A,9.0817E+3,9.9842E+3,#N/A,6.3951E+3,#N/A,9.0361E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P09603|CSF1_HUMAN,Macrophage colony-stimulating factor 1 OS=Homo sapiens OX=9606 GN=CSF1 PE=1 SV=2,CSF1,1.5171E+6,1.4504E+6,1.2946E+6,1.1111E+6,1.0195E+6,1.0427E+6,9.9034E+5,1.0555E+6,8.2550E+5,8.1524E+5,7.4640E+5,6.1818E+5,5.7185E+5,6.1780E+5,3.5764E+5,9.7291E+4,4.0787E+5,3.3944E+5,5.3191E+5,9.8767E+4,5.7825E+4,5.2143E+4,6.9785E+4,1.3727E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P29274|AA2AR_HUMAN,Adenosine receptor A2a OS=Homo sapiens OX=9606 GN=ADORA2A PE=1 SV=2,ADORA2A,1.6597E+4,#N/A,#N/A,9.8884E+3,6.1212E+3,4.9800E+3,6.6818E+3,2.0973E+3,5.7018E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P30837|AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=4",ALDH1B1,4.2568E+4,3.2993E+4,3.5417E+4,1.7561E+4,2.9967E+4,2.3617E+4,2.0298E+4,3.4336E+4,3.6015E+4,1.6540E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P34932|HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,1.9558E+6,1.9185E+6,2.1544E+6,1.4004E+6,1.2105E+6,1.2494E+6,1.0392E+6,1.2134E+6,9.4804E+5,7.0527E+5,6.5456E+5,5.5981E+5,2.9357E+5,1.7087E+5,1.3388E+5,1.3403E+5,1.6712E+5,1.6604E+5,9.4376E+4,5.7067E+4,5.2363E+4,3.7704E+4,3.9162E+4,5.6394E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P40855|PEX19_HUMAN,Peroxisomal biogenesis factor 19 OS=Homo sapiens OX=9606 GN=PEX19 PE=1 SV=1,PEX19,#N/A,1.0393E+5,2.4019E+4,4.8729E+4,9.9310E+4,1.9006E+4,1.5154E+4,1.5572E+4,9.7652E+3,1.6246E+4,4.4130E+4,2.7047E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P43490|NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,NAMPT,6.2625E+4,3.8276E+4,6.7334E+4,4.5437E+4,2.7475E+4,1.8991E+4,1.4824E+4,#N/A,1.8176E+4,1.2482E+4,1.3954E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P53985|MOT1_HUMAN,Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3,SLC16A1,7.0098E+3,8.3163E+3,1.0494E+4,8.6318E+3,3.4073E+3,6.2512E+3,4.3169E+3,3.5245E+3,#N/A,4.3188E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15042|RB3GP_HUMAN,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3,RAB3GAP1,5.6545E+5,5.6444E+5,4.0310E+5,4.0975E+5,3.2520E+5,2.9080E+5,2.5410E+5,1.4733E+5,2.7929E+5,1.5194E+5,1.3784E+5,1.0217E+5,4.2462E+4,4.3189E+4,2.2695E+4,2.1280E+4,1.9895E+4,2.3325E+4,5.5962E+3,1.1601E+3,3.4218E+3,2.9713E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15276|RABE1_HUMAN,Rab GTPase-binding effector protein 1 OS=Homo sapiens OX=9606 GN=RABEP1 PE=1 SV=2,RABEP1,1.6577E+5,1.7553E+5,1.2764E+5,1.1583E+5,8.7202E+4,9.7885E+4,6.0610E+4,6.4239E+4,3.4494E+4,2.3361E+4,4.2696E+4,2.1755E+4,#N/A,2.3869E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15813|TBCE_HUMAN,Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1,TBCE,1.2106E+5,1.0414E+5,1.0269E+5,7.6359E+4,7.1689E+4,5.8524E+4,4.4200E+4,3.7292E+4,4.5723E+4,1.9324E+4,3.2122E+4,1.8338E+4,4.8053E+3,#N/A,#N/A,#N/A,2.0771E+3,8.7685E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q60I27|AL2CL_HUMAN,ALS2 C-terminal-like protein OS=Homo sapiens OX=9606 GN=ALS2CL PE=1 SV=1,ALS2CL,#N/A,2.8177E+3,2.5872E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N4C8|MINK1_HUMAN,Misshapen-like kinase 1 OS=Homo sapiens OX=9606 GN=MINK1 PE=1 SV=2,MINK1,4.2179E+5,2.9670E+5,2.8628E+5,2.7369E+5,2.1032E+5,2.2686E+5,1.1847E+5,1.3305E+5,1.5670E+5,7.8439E+4,9.5379E+4,8.5195E+4,3.6193E+3,7.0661E+3,9.1899E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96LJ7|DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1 OS=Homo sapiens OX=9606 GN=DHRS1 PE=1 SV=1,DHRS1,4.0498E+4,6.4456E+4,5.7897E+4,3.4390E+4,1.0691E+4,3.1989E+4,1.6844E+4,9.2747E+3,3.4400E+4,5.4880E+3,#N/A,4.0086E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BR76|COR1B_HUMAN,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,CORO1B,2.7557E+6,2.5761E+6,2.4499E+6,2.0872E+6,1.6076E+6,1.9516E+6,1.2765E+6,1.4845E+6,1.3579E+6,7.8955E+5,8.7166E+5,7.4281E+5,3.1024E+5,2.8120E+5,2.3452E+5,2.1677E+5,2.3507E+5,2.4882E+5,1.7341E+5,1.8332E+5,1.4736E+5,1.0971E+5,5.2355E+4,9.3465E+4,2.4788E+4,1.6612E+4,4.7641E+3,3.6192E+3,#N/A,2.2848E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H8M1|CQ10B_HUMAN,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens OX=9606 GN=COQ10B PE=1 SV=1",COQ10B,2.0743E+4,1.4232E+4,1.0782E+4,1.3228E+4,5.0769E+3,#N/A,4.1311E+3,#N/A,4.3841E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H9C1|SPE39_HUMAN,Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1,VIPAS39,1.0029E+5,1.1008E+5,1.0866E+5,7.5308E+4,6.1525E+4,5.1609E+4,5.4572E+4,1.3275E+5,9.8080E+4,#N/A,8.0016E+3,2.5560E+4,#N/A,#N/A,#N/A,7.8736E+2,#N/A,4.4855E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UHY1|NRBP_HUMAN,Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1,NRBP1,4.3945E+5,4.3047E+5,5.5739E+5,2.9498E+5,2.9923E+5,2.6646E+5,2.2852E+5,1.7525E+5,1.9532E+5,1.1357E+5,2.2668E+5,9.5393E+4,2.9595E+4,1.3873E+4,3.7268E+4,3.0602E+4,3.0022E+4,3.2663E+4,3.1534E+4,6.6561E+3,3.0049E+4,2.5138E+4,2.3480E+4,1.0691E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0103E+4,#N/A,#N/A,#N/A,1.4133E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UNS2|CSN3_HUMAN,COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3,COPS3,6.9417E+4,5.2983E+4,4.2058E+4,3.4365E+4,4.1395E+4,3.4138E+4,4.3934E+4,2.6465E+4,2.6691E+4,3.1129E+4,5.6680E+3,8.7910E+3,3.1400E+3,2.6011E+3,2.2088E+3,#N/A,1.4495E+3,2.9416E+3,#N/A,#N/A,#N/A,#N/A,1.4533E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
